Product Code,Name,Brand,Category Hierarchy,Stock,Price,Size,EAN,SKU
BP_100012804,Ange ou D̩mon <br/> Eau de Parfum,GIVENCHY,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,87.99,30ML,3274872396180,100043739
BP_102361608,Eau de parfum,Jean Paul Gaultier,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,87.99,30ML,8435415050777,102361608
BP_100104536,Eau de Parfum TWIST AND SPRAY Recharge,CHANEL,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,154.99,60ML,3145891164107,100104536
BP_101488130,Eau de Parfum,DIOR,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,131.99,50ML,3348901419093,101488148
BP_102199137,Eau de parfum,Herm̬s,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,163.99,50ML,3346130011064,102199137
BP_102568924,IKEBANA - Eau de parfum,Kenzo,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,109.99,40ML,3274872454460,102568924
BP_102405121,Eau de parfum intense,Guerlain,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,98.99,30ML,3346470145665,102405121
BP_100013382,Shalimar Eau de Toilette Vaporisateur Recharge,Guerlain,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,84.7,93ML,3346470122031,100013383
BP_100451618,Eau de Parfum Vaporisateur,DIOR,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,141.99,50ML,3348901192224,100451618
BP_100023456,Eau de toilette,Nina Ricci,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,75.99,30ML,3137370207023,100060481
BP_102611216,Eau de parfum,GIVENCHY,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,95.99,35ML,3274872456327,102611216
BP_100005162,EAU DE PARFUM VAPORISATEUR,CHANEL,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,149.09,100ML,3145891195309,100005164
BP_100005125,EAU DE TOILETTE VAPORISATEUR,CHANEL,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,127.99,50ML,3145891164503,100005125
BP_100005097,EAU DE TOILETTE VAPORISATEUR,CHANEL,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,134.99,50ML,3145891054552,100005097
BP_102406167,Eau de parfum supr̻me,Carolina Herrera,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,90.99,30ML,8411061041666,102406167
BP_102293351,Nerolia vetiver,Guerlain,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,116.99,75ML,3346470144125,102293351
BP_102293220,Bergamote Calabria - eau de toilette,Guerlain,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,116.99,75ML,3346470143852,102321307
BP_100041969,Eau de Parfum,Sisley,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,131.99,30ML,3473311980007,100041969
BP_100013431,Mitsouko Eau de Parfum,Guerlain,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,165.99,75ML,3346470241046,100013431
BP_102344226,Eau de toilette,Kenzo,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,81.99,50ML,3274872440982,102344226
BP_100005211,EAU DE TOILETTE VAPORISATEUR,CHANEL,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,136.99,50ML,3145891124507,100005211
BP_102406280,Mandarine Basilic - eau de parfum rechargeable,Guerlain,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,133.99,75ML,3346470144729,102406280
BP_100005116,EAU DE PARFUM VAPORISATEUR,CHANEL,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,158.99,50ML,3145891297201,100005116
BP_102253113,Eau de parfum naturelle,CHLOE,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,95.99,30ML,3614229395686,102253113
BP_102905100,Eau de parfum,ZADIG & VOLTAIRE,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,48.17,30ML,3423222106133,102905100
